ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-01-09,80.26970151345678,60.5393901744861,101.83646340604993,80.26970151345678,80.26970151345678,0.0,0.0,0.0,0.0,0.0,0.0,80.26970151345678
2024-01-10,80.24778347301267,60.441428631711034,100.00248657431379,80.24778347301267,80.24778347301267,0.0,0.0,0.0,0.0,0.0,0.0,80.24778347301267
2024-01-11,80.22586543256863,59.575283894234616,99.80152615973658,80.22586543256863,80.22586543256863,0.0,0.0,0.0,0.0,0.0,0.0,80.22586543256863
2024-01-12,80.20394739212452,60.57300513646599,100.05609031871593,80.20394739212452,80.20394739212452,0.0,0.0,0.0,0.0,0.0,0.0,80.20394739212452
2024-01-15,80.13819327079227,59.64898821865632,99.14404779551636,80.13819327079227,80.13819327079227,0.0,0.0,0.0,0.0,0.0,0.0,80.13819327079227
2024-01-16,80.11627523034822,60.13301455408792,101.27600561710813,80.11627523034822,80.11627523034822,0.0,0.0,0.0,0.0,0.0,0.0,80.11627523034822
2024-01-17,80.09435718990412,59.64205388067028,100.26643804135581,80.09435718990412,80.09435718990412,0.0,0.0,0.0,0.0,0.0,0.0,80.09435718990412
2024-01-18,80.07243914946007,59.02290718094461,99.00736305961121,80.07243914946007,80.07243914946007,0.0,0.0,0.0,0.0,0.0,0.0,80.07243914946007
2024-01-19,80.05052110901596,60.641760336893896,100.56276864261874,80.05052110901596,80.05052110901596,0.0,0.0,0.0,0.0,0.0,0.0,80.05052110901596
2024-01-22,79.98476698768377,60.609570571072055,100.34977133889555,79.98476698768377,79.98476698768377,0.0,0.0,0.0,0.0,0.0,0.0,79.98476698768377
